Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2023,Paraguay,-,PRY,-,5991,0,1598,0,0,5,3461,0
2023,Peru,-,PER,-,6712,0,508429,0,0,32,17847,18916
2023,Philippines,-,PHL,-,934,5,1029,108237,137352,28,0,126228
2023,"Papua New Guinea",-,PNG,-,10523,23,3298,95000,0,0,134,1736
2023,Poland,-,POL,-,971478,65475,6989,0,0,1533,0,1328
2023,Portugal,-,PRT,-,62807,3532,1267,0,0,31,0,0
2023,Romania,-,ROU,-,87487,5582,1068,0,0,287,0,159
2023,"South Africa",-,ZAF,-,67145,347,86911,0,0,0,0,0
2023,"Russian Federation",-,RUS,-,1230131,21,891,0,0,92209,0,0
2023,Rwanda,-,RWA,-,115643,325,12660,0,0,9500,12139,7060
2023,Senegal,-,SEN,-,11856,0,770,0,0,0,0,0
2023,Spain,-,ESP,-,385701,13105,204270,0,0,8579,0,0
2023,"Serbia and Kosovo: S/RES/1244 (1999)",-,SRB,-,29365,0,163,209790,114,2329,0,3023
2023,Sudan,-,SDN,-,922474,397061,39510,9052822,0,0,21661,3636
2023,Suriname,-,SUR,-,24,0,2609,0,0,0,0,5
2023,Slovakia,-,SVK,-,126866,8559,92,0,0,49,0,0
2023,Slovenia,-,SVN,-,10525,0,1143,0,0,10,0,5
2023,Sweden,-,SWE,-,237632,2977,11271,0,0,18698,0,0
2023,Switzerland,-,CHE,-,192507,4549,18884,0,0,1185,0,98
2023,"Syrian Arab Rep.",-,SYR,-,12011,0,4861,7248188,155325,160000,16041461,0
2023,Thailand,-,THA,-,87314,0,1674,0,0,587132,0,584
2023,Tajikistan,-,TJK,-,10092,33,1387,0,0,3827,0,0
2023,Turkmenistan,-,TKM,-,3614,0,0,0,0,3583,0,0
2023,Tunisia,-,TUN,-,3994,0,11093,0,0,0,0,23
2023,Türkiye,-,TUR,-,3251127,19865,222069,0,0,415,0,0
2023,"United Arab Emirates",-,ARE,-,1416,0,7044,0,0,0,0,113
2023,Uganda,-,UGA,-,1577498,23725,37657,0,0,67000,2659400,0
2023,Ukraine,-,UKR,-,2512,0,498,3689000,1318680,35765,0,958361
2023,Uruguay,-,URY,-,1285,0,24173,0,0,5,8726,0
2023,"United States of America",-,USA,-,409202,0,2601467,0,0,0,0,0
2023,Uzbekistan,-,UZB,-,9405,0,0,0,0,22496,0,0
2023,"Venezuela (Bolivarian Republic of)",-,VEN,-,29336,5,1578,0,0,0,0,3206577
2023,Zambia,-,ZMB,-,72411,768,5549,0,0,0,0,17550
2023,Israel,-,ISR,-,1235,0,25464,0,0,35,0,40477
2023,Angola,-,AGO,-,25174,614,30268,0,0,0,0,199
2023,Botswana,-,BWA,-,761,0,97,0,0,0,0,71
2023,"Central African Rep.",-,CAF,-,32913,1274,32506,511803,325938,0,0,0
2023,Cameroon,-,CMR,-,485285,5648,10288,1075252,15050,0,0,13827
2023,Congo,-,COG,-,60637,0,6585,0,0,0,0,12545
2023,"Dem. Rep. of the Congo",-,COD,-,523392,10423,3106,6251790,1833092,0,0,61
2023,"Costa Rica",-,CRI,-,23422,0,193718,0,0,327,3109,32853
2023,Namibia,-,NAM,-,5157,183,1978,0,0,0,0,77
2023,Eswatini,-,SWZ,-,1202,13,1772,0,0,0,0,12
2023,Zimbabwe,-,ZWE,-,10114,0,12451,0,0,0,0,1003
2023,Bahrain,-,BHR,-,254,0,122,0,0,0,0,0
2023,"Cote d'Ivoire",-,CIV,-,2370,0,37460,0,0,930978,0,0
2023,Qatar,-,QAT,-,197,0,140,0,0,1200,0,0
2023,Somalia,-,SOM,-,17770,5,20500,3860099,0,0,0,209
2023,Yemen,-,YEM,-,55568,2429,15259,4516341,0,0,0,15
2023,"Bolivia (Plurinational State of)",-,BOL,-,1117,0,76,0,0,0,13881,0
2023,Guatemala,-,GTM,-,989,0,2051,0,0,0,406161,148026
2023,Liechtenstein,-,LIE,-,597,0,10,0,0,0,0,0
2023,Montenegro,-,MNE,-,64733,3986,174,0,0,416,0,213
2023,Burundi,-,BDI,-,85229,0,2270,8177,0,791,0,1292
2023,"Burkina Faso",-,BFA,-,37735,316,1146,2062534,0,0,0,0
2023,Chad,-,TCD,-,1100921,9943,4916,215928,0,0,0,100543
2023,Gabon,-,GAB,-,204,0,86,0,0,0,0,9
2023,Guinea,-,GIN,-,2191,5,54,0,0,0,0,0
2023,Mali,-,MLI,-,66443,12,273,354739,79763,0,0,0
2023,Malawi,-,MWI,-,35201,225,17695,0,0,0,0,5
2023,Mozambique,-,MOZ,-,5152,90,18438,582764,280988,0,0,1323
2023,"South Sudan",-,SSD,-,381236,14655,4871,1236672,0,10500,454831,0
2023,"United Rep. of Tanzania",-,TZA,-,188953,19527,40143,0,0,0,0,12290
2023,Togo,-,TGO,-,28240,5,4400,9680,0,0,0,0
2023,Algeria,-,DZA,-,98590,0,3601,0,0,0,0,0
2023,Mauritania,-,MRT,-,112549,253,5927,0,0,0,0,0
2023,Niger,-,NER,-,269996,27625,35570,335277,0,0,0,45410
2023,Bangladesh,-,BGD,-,971984,0,0,0,0,971898,537900,0
2023,Nauru,-,NRU,-,0,0,13,0,0,0,0,0
2023,"Trinidad and Tobago",-,TTO,-,3205,0,28617,0,0,0,5433,1040
2023,Bahamas,-,BHS,-,0,0,31,0,0,0,0,723
2023,Comoros,-,COM,-,10,5,0,0,0,0,0,0
2023,Liberia,-,LBR,-,1164,0,618,0,0,0,0,0
2023,Mauritius,-,MUS,-,5,0,19,0,0,0,0,0
2023,"Saudi Arabia",-,SAU,-,477,0,3945,0,0,70000,0,0
2023,Vanuatu,-,VUT,-,0,0,5,0,0,0,0,0
2023,Lesotho,-,LSO,-,319,0,363,0,0,0,0,6
2023,"Saint Kitts and Nevis",-,KNA,-,19,0,0,0,0,0,0,0
2023,Djibouti,-,DJI,-,23063,0,8442,0,0,0,0,0
2023,Haiti,-,HTI,-,0,0,0,313901,0,0,0,5
2023,Honduras,-,HND,-,182,0,101,247090,0,0,0,173569
2023,Nicaragua,-,NIC,-,311,0,124,0,0,0,0,583
2023,"El Salvador",-,SLV,-,106,0,263,71500,0,0,346175,118591
2023,"Sint Maarten (Dutch part)",-,SXM,-,5,0,128,0,0,0,0,10
2023,Belize,-,BLZ,-,214,0,1973,0,0,0,0,9452
2023,"Cayman Islands",-,CYM,-,49,0,93,0,0,0,0,222
2023,Eritrea,-,ERI,-,119,0,0,0,0,0,0,18
2023,Barbados,-,BRB,-,5,0,10,0,0,0,0,0
2023,"Saint Lucia",-,LCA,-,0,0,5,0,0,0,0,0
2023,Guinea-Bissau,-,GNB,-,24,0,30,0,0,0,0,0
2023,"Sierra Leone",-,SLE,-,0,0,0,0,0,0,0,210
2023,Monaco,-,MCO,-,17,0,0,0,0,0,0,0
2023,"Unknown ",-,UNK,-,0,4780,0,0,0,0,0,0
2023,"Viet Nam",-,VNM,-,19,0,0,0,0,26811,0,0
2023,"Turks and Caicos Islands",-,TCA,-,7,0,0,0,0,0,0,0
2023,Cambodia,-,KHM,-,24,0,5,0,0,75000,0,0
2023,Myanmar,-,MMR,-,0,0,0,2607645,276612,632789,0,0
2023,"Solomon Islands",-,SLB,-,0,0,0,1000,0,0,0,0
2023,"Brunei Darussalam",-,BRN,-,0,0,0,0,0,20863,0,0
2023,"Cabo Verde",-,CPV,-,0,0,0,0,0,115,0,0
2023,Singapore,-,SGP,-,0,0,0,0,0,1109,0,0
2023,Aruba,-,ABW,-,0,0,0,0,0,0,0,0
2023,"Curacao ",-,CUW,-,0,0,0,0,0,0,0,0
2024,Ukraine,-,UKR,-,2374,0,486,3669000,571000,35760,0,496124
2024,Afghanistan,-,AFG,-,34834,0,281,3221286,1111,0,1738747,72883
2024,Albania,-,ALB,-,6592,0,0,0,0,2098,0,334
2024,Egypt,-,EGY,-,248057,1230,434844,0,0,10,0,0
2024,Argentina,-,ARG,-,4144,0,6652,0,0,27,60301,480
2024,Armenia,-,ARM,-,148024,0,813,0,0,402,0,0
2024,Australia,-,AUS,-,29640,644,87673,0,0,7067,0,934
2024,Austria,-,AUT,-,266205,0,32257,0,0,4136,0,0
2024,Azerbaijan,-,AZE,-,8087,5,224,657749,0,513,0,15
2024,Belgium,-,BEL,-,172442,1200,49519,0,0,836,0,628
2024,Benin,-,BEN,-,12229,0,4772,8785,0,0,0,0
2024,Bangladesh,-,BGD,-,984651,0,20,0,0,984591,537900,0
2024,Belarus,-,BLR,-,48484,600,672,0,0,5506,0,0
2024,Brazil,-,BRA,-,243076,0,75977,0,0,5,0,0
2024,"Bosnia and Herzegovina",-,BIH,-,437,0,136,91223,0,17,0,1441
2024,Bulgaria,-,BGR,-,94545,1100,4166,0,0,1010,0,0
2024,Canada,-,CAN,-,194302,0,253944,0,0,4866,0,0
2024,China,-,CHN,-,310,5,616,0,0,0,0,0
2024,Chile,-,CHL,-,2406,0,12340,0,0,1691,101855,1691
2024,Colombia,-,COL,-,1356,0,29305,6976227,0,0,876000,676
2024,Cuba,-,CUB,-,149,0,20,0,0,0,0,6
2024,Cyprus,-,CYP,-,43449,300,29541,0,0,98,0,0
2024,Czechia,-,CZE,-,361546,6000,1053,0,0,605,0,531
2024,Denmark,-,DNK,-,64388,600,2319,0,0,8535,0,0
2024,"Dominican Rep.",-,DOM,-,1011,0,4789,0,0,0,0,0
2024,Ecuador,-,ECU,-,21253,0,8535,0,0,0,0,0
2024,Estonia,-,EST,-,40442,700,158,0,0,64882,0,0
2024,Ethiopia,-,ETH,-,997892,44929,63855,3245484,118489,0,1150839,616
2024,Fiji,-,FJI,-,15,0,15,0,0,0,0,0
2024,Finland,-,FIN,-,87691,1000,6554,0,0,2976,0,0
2024,France,-,FRA,-,689273,1100,71169,0,0,2506,0,1936
2024,Gambia,-,GMB,-,3890,0,414,0,0,0,0,0
2024,"United Kingdom of Great Britain and Northern Ireland",-,GBR,-,482780,3600,128285,0,0,4435,0,394
2024,Georgia,-,GEO,-,27925,400,1128,297905,0,490,0,0
2024,Germany,-,DEU,-,2667191,17600,356767,0,0,28649,0,0
2024,Ghana,-,GHA,-,7091,0,5239,0,0,0,0,0
2024,Greece,-,GRC,-,214574,400,20887,0,0,3743,0,2427
2024,Guyana,-,GUY,-,27,0,64,0,0,0,0,0
2024,"China, Hong Kong SAR",-,HKG,-,287,0,0,0,0,0,0,0
2024,Croatia,-,HRV,-,26821,400,906,0,0,742,0,272
2024,Hungary,-,HUN,-,68459,900,0,0,0,101,0,13
2024,Iceland,-,ISL,-,8821,0,2195,0,0,31,0,0
2024,India,-,IND,-,257497,129,12427,0,0,22516,0,0
2024,Indonesia,-,IDN,-,8356,10,4194,0,0,2857,0,186
2024,Ireland,-,IRL,-,120835,1600,28552,0,0,52,0,0
2024,"Iran (Islamic Rep. of)",-,IRN,-,3764517,348,0,0,0,0,0,0
2024,Iraq,-,IRQ,-,300890,1290,13398,1098913,8844,233,0,2610
2024,Italy,-,ITA,-,306908,2600,180062,0,0,3000,0,0
2024,Jordan,-,JOR,-,661218,3543,36481,0,0,18,0,1220
2024,Japan,-,JPN,-,22335,0,23916,0,0,503,0,0
2024,Kazakhstan,-,KAZ,-,65828,0,337,0,0,8019,0,0
2024,Kenya,-,KEN,-,566820,1733,210504,0,0,9800,401356,0
2024,Kyrgyzstan,-,KGZ,-,25746,0,2477,0,0,59,0,0
2024,"Rep. of Korea",-,KOR,-,4152,0,31720,0,0,242,0,0
2024,Kuwait,-,KWT,-,583,0,910,0,0,92000,0,13
2024,Libya,-,LBY,-,2161,5,62633,125802,0,0,0,0
2024,Lebanon,-,LBN,-,778167,5078,7911,0,0,0,0,31779
2024,"Sri Lanka",-,LKA,-,271,0,165,4806,0,109,0,0
2024,Lithuania,-,LTU,-,46861,1200,310,0,0,2331,0,0
2024,Luxembourg,-,LUX,-,10262,0,3088,0,0,93,0,6
2024,Latvia,-,LVA,-,46615,700,226,0,0,180614,0,0
2024,Madagascar,-,MDG,-,81,0,1128,0,0,0,0,19
2024,"Rep. of Moldova",-,MDA,-,121480,2000,1839,0,0,3233,0,0
2024,Mexico,-,MEX,-,136428,0,276696,262411,0,13,0,50803
2024,Malaysia,-,MYS,-,137943,0,51533,0,0,119046,0,55857
2024,Montenegro,-,MNE,-,22052,900,155,0,0,431,0,1607
2024,Mongolia,-,MNG,-,10,0,0,0,0,17,0,5
2024,Morocco,-,MAR,-,7562,0,10136,0,0,0,0,0
2024,Nepal,-,NPL,-,19587,0,278,0,0,460,0,558
2024,"Netherlands (Kingdom of the)",-,NLD,-,255455,1700,43201,0,0,4365,0,0
2024,Nigeria,-,NGA,-,73720,14,17831,3313601,0,0,0,326
2024,Norway,-,NOR,-,107057,1100,4789,0,0,1887,0,0
